healthy,multiple_diseases,rust,scab,image_id
0.0006979519345922072,0.006113773561008682,0.9926534237047195,0.0005348212877522746,Test_0
0.00208171899842735,0.008503120825812793,0.9880159737969971,0.001399181060398397,Test_1
0.008761757292300044,0.0013823456988083052,0.00020939484131996745,0.989646515780754,Test_2
0.9968680145700836,0.0005321662681850906,0.000698771911203916,0.001901030275809386,Test_3
0.0025316062980373145,0.014353599625787437,0.9801801213504792,0.0029346431614126114,Test_4
0.9729712280086518,0.0023737772050719357,0.0010131207696617939,0.023641891234590172,Test_5
0.9962654839369584,0.0009783345078060825,0.0009131277230152431,0.0018430654813464528,Test_6
0.0017749103800078286,0.010741530456039608,0.00048042236036324867,0.9870031819658278,Test_7
0.006942559438976478,0.46449416695697787,0.00916327368375457,0.5194000169660873,Test_8
0.0022407933557737937,0.0031577833036219205,0.9935285159401703,0.001072881764621691,Test_9
0.003224437045117533,0.001330117762203245,0.9950430448477172,0.00040237812707248394,Test_10
0.9921906639144135,0.002925624440290592,0.0011623092439400828,0.0037214038409433222,Test_11
0.2272891351197339,0.27317550855944417,0.036561995942718584,0.4629733583257313,Test_12
0.9934805647732925,0.0014482036405611678,0.0033448549622840293,0.0017263492459800322,Test_13
0.0031746339066171803,0.004281052623274044,0.9907407921785736,0.0018035747363341506,Test_14
0.0015679298815763957,0.002640256464918141,0.9952479202756882,0.0005439134976150346,Test_15
0.9949320402965164,0.0012234604578129765,0.002114362974363297,0.0017301586228206508,Test_16
0.003104522068124497,0.0927248111313858,0.0005804908722388078,0.9035901690296936,Test_17
0.14940816093734588,0.006913245536037339,0.0009410802279548854,0.842737560872078,Test_18
0.00016999905000264758,0.0036767294039547578,0.995845815,0.00030742448000645704,Test_19
0.055707838046232604,0.005944780587356615,0.004081722259647125,0.9342656799195861,Test_20
0.9942091951921463,0.0009370083140127464,0.0008360409490600711,0.0040177914746269815,Test_21
0.00025382200985970627,0.06716236308869461,0.9319849497192383,0.0005989043296565408,Test_22
0.002859810932185439,0.002964769088883739,0.0002933022062744924,0.9938820709413528,Test_23
0.9812490280971528,0.002076366699102674,0.000255066570675248,0.016419546469380045,Test_24
0.0019047585422275856,0.002175807498796927,0.00012657270081377846,0.9957928661507034,Test_25
0.18201529962252255,0.012585338195232009,0.0037818683262113057,0.8016174712931632,Test_26
0.0012440554338406672,0.00784566793250392,0.9893990277120972,0.0015112645452553947,Test_27
0.9967529463256836,0.001010877550642253,0.00018402523549927163,0.002052130792765513,Test_28
0.01107505243867041,0.4470557270234681,0.5282001603669891,0.0136690552250136,Test_29
0.9723307446466828,0.0019149341511497029,0.0007753118401731681,0.024979017494506817,Test_30
0.0010954577131199181,0.3599851057582018,0.6326009511867569,0.006318457253116918,Test_31
0.10335813815570488,0.027756391626731942,0.32233615267507476,0.5465493461536255,Test_32
0.008709556365460048,0.0015195447304243888,0.0002056434678668939,0.9895652417030334,Test_33
0.014042426768661869,0.0028907208344014146,0.000489513334549014,0.9825773412223434,Test_34
0.08514751311636765,0.0024354915261026867,0.0003760995286737504,0.9120409213150407,Test_35
0.0007986727285132048,0.0038301278447584785,0.9946988080930328,0.0006723798513601617,Test_36
0.20273702128655088,0.007149249571209863,0.0018132283553329955,0.7883004648413467,Test_37
0.12147265041090165,0.006179571796679571,0.00070832866375242,0.8716394592618942,Test_38
0.00022378687352924123,0.001178156756048384,0.9982278052384568,0.00037022440748940496,Test_39
0.001648978867720175,0.004708371014236402,0.9917442759057616,0.0018983547617167583,Test_40
0.0003214116124859424,0.007703981059613466,0.9915912074375153,0.0003833995289460049,Test_41
0.125641703561322,0.003607171310430906,0.000176300737335966,0.8705748229761887,Test_42
0.04536263415181922,0.015232546265267408,0.9375971562754821,0.0018076694528666331,Test_43
0.027234391695364662,0.7111996937760905,0.14186344476706542,0.11970242121466905,Test_44
0.030914274502297404,0.055647445479333896,0.025502163239127813,0.8879360964564132,Test_45
0.384038104356543,0.082493590411115,0.0011268315682873217,0.532341447190727,Test_46
0.000298432572079227,0.00345878763598557,0.9958237875349426,0.00041899609986329394,Test_47
0.0004647410377041633,0.0070151730164065,0.9918023657785415,0.0007177513298449386,Test_48
0.0006339917321086471,0.0006146264069507159,0.998513837994194,0.00023754910535644857,Test_49
0.00026669580396705684,0.0032226774513261025,0.9962374521702575,0.0002731643373639624,Test_50
0.0003587755674632345,0.07230040808488747,0.9264746869795226,0.0008661031511807624,Test_51
0.0015051538364533688,0.016360271593351697,0.9802137755422211,0.0019207790652352283,Test_52
0.00041009547542501595,0.001074031284520413,0.9983299925,0.00018585644116003524,Test_53
0.2633151085849136,0.4451798955905383,0.2535244296104701,0.0379805682093343,Test_54
0.002772507448108284,0.002113215452228178,0.0004687286797791254,0.9946455525282287,Test_55
